RxNorm,ATC
248279,C05AX04
2496,C05AX04
251019,C05AX04
251177,C05AX04
251453,C05AX04
251740,C05AX04
252002,C05AX04
2530887,C05AX04
2530888,C05AX04
2530889,C05AX04
2531381,C05AX04
253193,C05AX04
2534159,C05AX04
2534160,C05AX04
2534162,C05AX04
2534163,C05AX04
2534164,C05AX04
2534181,C05AX04
2534182,C05AX04
2534184,C05AX04
2540919,C05AX04
2540920,C05AX04
2551101,C05AX04
2551102,C05AX04
2551104,C05AX04
2556793,C05AX04
2556908,C05AX04
2559902,C05AX04
2562886,C05AX04
2563379,C05AX04
2563380,C05AX04
258326,C05AX04
258439,C05AX04
259094,C05AX04
259241,C05AX04
259404,C05AX04
260005,C05AX04
260025,C05AX04
260502,C05AX04
260506,C05AX04
26051,C05AX04
2623,C05AX04
26290,C05AX04
2635,C05AX04
265576,C05AX04
2669,C05AX04
27748,C05AX04
282749,C05AX04
283435,C05AX04
283579,C05AX04
283678,C05AX04
283679,C05AX04
283682,C05AX04
2837,C05AX04
2839,C05AX04
285151,C05AX04
285152,C05AX04
285153,C05AX04
285165,C05AX04
285222,C05AX04
285251,C05AX04
29584,C05AX04
29787,C05AX04
29903,C05AX04
308653,C05AX04
308858,C05AX04
309411,C05AX04
309926,C05AX04
314875,C05AX04
314881,C05AX04
315120,C05AX04
315459,C05AX04
315470,C05AX04
316056,C05AX04
316179,C05AX04
316491,C05AX04
316715,C05AX04
31738,C05AX04
317387,C05AX04
317687,C05AX04
317805,C05AX04
317857,C05AX04
319815,C05AX04
319826,C05AX04
3226,C05AX04
323963,C05AX04
324072,C05AX04
32673,C05AX04
328225,C05AX04
328348,C05AX04
328759,C05AX04
328897,C05AX04
328925,C05AX04
328966,C05AX04
328982,C05AX04
328992,C05AX04
328996,C05AX04
329251,C05AX04
329254,C05AX04
329259,C05AX04
329271,C05AX04
329448,C05AX04
329455,C05AX04
329540,C05AX04
329572,C05AX04
329612,C05AX04
329704,C05AX04
329978,C05AX04
330295,C05AX04
330422,C05AX04
330558,C05AX04
330632,C05AX04
330662,C05AX04
330836,C05AX04
330914,C05AX04
33094,C05AX04
330983,C05AX04
331087,C05AX04
331192,C05AX04
331272,C05AX04
331396,C05AX04
331398,C05AX04
331428,C05AX04
331437,C05AX04
