RxNorm,UMLS
335993,C3540784
1728791,C0002772
425351,C3653572
1728792,C0002772
1728794,C0002772
731227,C3653920
848330,C3537250
848331,C3537250
848333,C3537250
207315,C3653387
2176453,C3653933
846192,C3653774
393452,C3653773
318,C3654018
393456,C0040615
393457,C0003289
335998,C3540784
966588,C3540732
966589,C3540732
577039,C3653914
577032,C3653764
577033,C3653764
577030,C3653773
577031,C3653773
707327,C3540784
707326,C3540784
707322,C3540784
707321,C3540784
707320,C3540784
1667767,C0003391
1995533,C3540784
1995532,C3540784
2257318,C3653798
1995537,C3653844
1995536,C3540784
2257313,C3653798
2257312,C3653798
2257316,C3653798
340049,C3653798
544717,C3539171
748750,C3653572
2099132,C3540787
206048,C3540732
855181,C3653764
855180,C3653764
631648,C3653285
800430,C3653813
210015,C0003138
409436,C3653284
800436,C3654018
1314846,C3540714
994277,C0002772
994276,C0002772
1374569,C0003233
1014384,C0002092
1374567,C0003233
800439,C3654018
93866,C3653553
1607808,C3653758
356887,C3653285
1441339,C0020592
69722,C3653501
1293662,C3540784
885794,C3653730
885790,C3653730
1866039,C3653756
107784,C3653833
1039226,C3653798
1039227,C3653798
1039225,C3653798
49247,C3653280
21311,C3653700
808532,C3653319
808533,C3653319
808534,C3653319
884226,C3653730
884227,C3653730
884224,C3653730
884225,C3653730
884222,C3653730
884223,C3653730
884220,C3653730
884221,C3653730
2388150,C0042742
2388151,C0042742
856908,C3540784
856906,C3540784
856902,C3540784
856903,C3540784
578124,C3653840
578123,C3653840
1534658,C3653753
567607,C3653531
567601,C3653596
1442683,C0001551
1442681,C0001551
433844,C3653815
371164,C0040616
371165,C0002073
371160,C0002934
371161,C0002772
1734399,C3653765
993557,C0003289
993552,C0003289
993551,C0003289
993550,C0003289
446199,C3653756
1664448,C0002772
1664449,C3653285
331348,C0001645
1664440,C0021081
883794,C3653813
883793,C3653813
1664444,C0002772
996726,C0002772
1921592,C0003376
1863556,C3653872
370419,C3539171
1863554,C3653798
996725,C0002772
1863551,C3653798
1944540,C0002772
330434,C3540732
900498,C3540732
900499,C3540732
330431,C3539171
370416,C3653731
1863559,C3653872
1794431,C0042742
614373,C3653767
763482,C3653798
763483,C3653798
763488,C3653627
763489,C3653627
1098346,C0471863
1040031,C0040615
1040030,C0040615
729851,C0471863
1040036,C0040615
1101938,C3653755
1040034,C0040615
1101937,C3653755
1101934,C3653564
1101932,C3653564
1101933,C3653564
1101931,C3653564
343559,C3653741
402741,C3653589
563635,C3653553
1442170,C3653773
343557,C3539177
1192987,C0002092
1192986,C3653756
1192985,C3653756
105929,C3653622
1426686,C3653798
2368456,C3653823
2368459,C3653823
2368458,C3653823
105925,C3653622
991302,C3653284
992688,C0040615
992689,C0040615
979379,C3653801
979378,C3653801
366240,C0003299
377813,C3653781
373148,C3653765
606384,C3653583
1112233,C3653622
373140,C0020656
855486,C0003391
373143,C3653531
855480,C3540732
373146,C3653765
373147,C3653765
209645,C3653741
221024,C3653798
24441,C3653700
335149,C3653572
335141,C3537250
899916,C0002092
313803,C3653337
313800,C0030842
1041780,C3653284
852597,C0002092
335159,C0040615
1099290,C0003289
1099294,C0003289
861043,C3653824
861042,C3653824
861045,C3653824
861044,C3653824
861049,C3539171
226668,C3653789
1793169,C3653741
1099037,C3653755
333763,C3653336
1099038,C3653755
335156,C0040615
1793166,C3653741
104748,C0040615
1793160,C3653741
377135,C3653536
377132,C3653280
1793163,C3653741
1299631,C3653284
1299632,C3653284
1299635,C3653284
1299634,C3653284
1299636,C3653284
1860090,C3542964
597751,C3540732
1540246,C3653731
1540244,C3653731
1540243,C3653731
1540241,C3653731
329662,C3653944
329663,C3653763
857223,C3653767
857226,C3653767
857225,C3653767
1000502,C3653285
1813409,C0021027
2049235,C3653495
860716,C3653789
860717,C3653789
314584,C3653813
314583,C3653319
1810570,C3653872
1742217,C3653602
836466,C0002772
1856651,C0002092
1856652,C0002092
1856654,C0002092
1856656,C0002092
1856657,C0002092
1856658,C0002092
334403,C3653755
2177,C3653676
1114097,C3653741
1114096,C5401044
1114095,C5401044
1043549,C0471863
1043543,C3653285
329086,C3540716
329084,C3653753
329085,C3540784
329082,C3653731
329083,C3540037
329081,C3653942
1010895,C3653798
329088,C1533693
204135,C3540732
373939,C3653918
373938,C1533693
316564,C3653287
876528,C3653793
876529,C3653793
892852,C0002092
892853,C0002092
876526,C3653793
892851,C0002092
373935,C3653627
876521,C3653793
892854,C0002092
876523,C3653793
595,C3653712
597,C3653558
596,C3653700
598,C3653764
1741747,C0040615
1741746,C0040615
1547974,C3540718
1547975,C3541403
1547976,C0002934
1547977,C3541403
1546082,C3653800
1597571,C3653495
1597570,C3653495
1597573,C3653495
1597572,C3653495
1597575,C3653495
310599,C3653765
1597577,C3654044
310594,C3540716
1597578,C3654044
325887,C3653676
310592,C3653583
2057699,C0002092
998329,C3653741
1361512,C3653285
1361515,C3653285
30077,C3653536
373998,C3540714
38260,C3653712
393121,C3653767
393122,C3653767
393124,C3653767
3268,C3653760
373991,C3653531
318341,C3539171
318340,C3653756
1243330,C3653501
1729334,C3540010
1729335,C3540010
1729336,C3540010
378638,C3653781
378637,C3540732
378635,C3653774
795816,C3653759
795817,C3653759
795814,C3653759
795815,C3653759
795812,C3653759
795813,C3653759
795811,C3653759
795818,C3653759
795819,C3653759
1192763,C0002092
486961,C3653756
486960,C3653572
42463,C3653649
2119548,C3653564
2100099,C3653501
2360133,C3653798
880326,C3540784
153630,C3653920
153638,C0040615
153639,C0040615
575940,C3653762
1540890,C3653918
898572,C0021027
898571,C0021027
790408,C0003289
898578,C0021027
1918040,C3653756
370491,C3653489
1918042,C3653584
349010,C0003299
618500,C3653942
1300709,C3653760
618502,C3653942
49737,C0001645
618504,C3654040
1300701,C3653760
1300702,C3653760
1300705,C3653760
1300706,C3653760
2109117,C3653813
2109115,C3653813
2109113,C3653813
1005706,C3653336
1598654,C3653707
1598658,C3653707
412174,C3654040
2200120,C3653763
2200123,C3653763
10591,C3653676
10597,C3653694
10594,C1704311
1658031,C0042742
1658035,C0042742
672193,C3653731
672192,C3653731
672191,C3653731
1311261,C3654018
20355,C3540784
20352,C0001645
570239,C3653741
830845,C3653552
830844,C3653552
830847,C3653552
830846,C3653552
451242,C3653501
1046982,C3654044
1870244,C0003233
237393,C0304475
828378,C3653773
828379,C3653773
828372,C3653773
828373,C3653773
828377,C3653773
828375,C3653773
798068,C3653798
1745438,C3653798
1191314,C3540732
379029,C0355614
374555,C3653496
2256949,C3653914
2256945,C0355614
2256944,C0355614
2256947,C0355614
2256946,C0355614
2256940,C0355614
2256943,C0355614
1991174,C3653284
415685,C3653743
377107,C0001645
365563,C3653942
847120,C3653756
847121,C3653336
800848,C3653813
1233205,C3653798
1233206,C3653798
251312,C0242896
992917,C3653756
1233208,C3653798
1666311,C3653335
1666312,C3653335
8375,C3540703
8372,C3653676
8373,C3653694
1666316,C3653335
1666317,C3653335
1666318,C3653335
1666319,C3653335
389138,C3537250
389139,C3653824
1731522,C0002772
1731523,C0002772
