RxNorm,UMLS
1008774,C2929673
966191,C0707581
215171,C0718417
215176,C0718422
1550948,C3858046
966194,C0707584
152855,C0593075
152854,C0593072
860696,C2719643
578547,C1380714
1009259,C2937491
1009256,C2937490
1866069,C4301828
1945037,C4522953
579724,C1620644
1945039,C4522955
1945038,C4522954
1370592,C3535889
1370593,C3535888
1370590,C3535891
1370591,C3535890
1370596,C3535886
1370597,C3535885
1370594,C3502969
1370595,C3535887
198175,C0690207
1370598,C3535884
1370599,C3535883
1187389,C3241131
391874,C1298250
391875,C1298251
236599,C0771892
391873,C1298249
2119813,C4762822
2119812,C4762821
236595,C0771888
236594,C1145701
895761,C2740854
2119816,C4762824
2119814,C4762823
260852,C0875292
564557,C1596996
564559,C1596998
564558,C1596997
368139,C1242115
368138,C1242114
368134,C1242110
639888,C1585049
639887,C1714459
1086275,C1276162
1090519,C1871487
1090518,C2979234
1312400,C3499530
1090517,C2979233
1176119,C3230071
1090511,C2979227
1090510,C2979226
1086278,C0792673
335529,C1132542
827778,C0712219
827777,C2370378
827776,C2370377
1439947,C3667709
1439946,C3667708
1439945,C3667707
1439949,C3667711
1439948,C3667710
1442135,C3692490
1046858,C0690966
1176093,C3230045
1176096,C3230048
1176095,C3230047
1176094,C3230046
1145988,C3191322
263034,C0879427
1039657,C2946686
1944788,C4522860
1039654,C2946683
1944786,C4522858
1944787,C4522859
1944784,C4522856
1944785,C4522857
1944782,C4522854
1944783,C4522855
1944780,C4522852
1944781,C4522853
2045115,C0062165
393449,C1306431
2107317,C4745433
2289027,C5242998
1044948,C2948794
1654186,C3887618
1117345,C3194803
566951,C1599375
2289025,C5243106
566956,C1599380
566954,C1599378
1313314,C3486579
1946782,C2241870
1369900,C3534947
375959,C1250111
1313311,C0997758
393440,C1306422
1154523,C3208993
858579,C2718695
1008048,C2928959
834239,C2608994
582328,C0875657
1119399,C3195106
582329,C1620394
2056073,C4723423
151194,C0590742
151196,C2936929
1161032,C3215386
1944628,C4522778
616739,C1700683
1865728,C4301741
1157863,C3212281
